Project,lilin,jef,cedric,cross,Final,Ranking
https://mixinlight.github.io,300,100,300,300,1000,1
https://imin.xin/,100,100,100,100,400,2
https://testcardmall.applinzi.com/,,300,50,,350,2
https://diceos.com,10,,100,100,210,3
www.dodice.com,100,,50,50,200,3
Fox.ONE 红包小程序版,50,,10,50,110,3
http://everpost.one,,50,50,,100,
http://mixinkeys.ibisolutions.ru,50,10,,,60,
问答社区 https://wenda.vcdiandian.com,,50,10,,60,
https://love-seal.lyric.im,50,,,,50,
Mixin Network快速充值助手 f1bank,,50,,,50,
https://love-seal.lyric.im,,,,50,50,
"基于mixin network实现一个社群助手, 发糖果 Mixin ID:7000100213",10,,,,10,
搬砖小蚂蚁 Mixin ID: 7000101695,,10,,,10,
"基于mixin network实现一个社群助手, 发糖果 Mixin ID:7000100213",,,,10,10,
